Paper ID,Paper Title,Author Names,Primary Subject Area,Secondary Subject Areas,Status,Day.Time,Poster #,Topic,,Topic Legend,
1146,On Implicit Filter Level Sparsity in Convolutional Neural Networks,Dushyant Mehta (MPI Informatics)*; Kwang In Kim (UNIST); Christian Theobalt (MPI Informatik),Deep Learning,Optimization Methods; Representation Learning,Poster,1.1,29,A,,,
1167,FlowNet3D: Learning Scene Flow in 3D Point Clouds,Xingyu Liu (Stanford University)*; Charles R. Qi (Facebook AI Research); Leonidas Guibas (Stanford University),Deep Learning,Low-level Vision; Motion and Tracking; Robotics + Driving,Poster,1.1,30,A,,,
1218,Scene Memory Transformer for Embodied Agents in Long-Horizon Tasks,Kuan Fang (Stanford Univeristy); Alexander Toshev (Google)*; Silvio Savarese (Stanford University); Li Fei-Fei (Stanford University),Deep Learning,Robotics + Driving,Poster,1.1,31,A,,,
1222,Co-occurrent Features in Semantic Segmentation,Hang Zhang (Amazon Inc)*; Han Zhang (Google); Chenguang Wang (Amazon AI); Junyuan Xie (Amazon),Deep Learning,"Scene Analysis and Understanding; Segmentation, Grouping and Shape",Poster,1.1,32,A,,,
1246,Bag of Tricks to Train Convolutional Neural Networks for Image Classification,Junyuan Xie (Amazon); Tong He (Amazon)*; Zhi Zhang (Amazon); Hang Zhang (Amazon Inc); Zhongyue Zhang (Amazon); Mu Li (Amazon),Deep Learning,"Recognition: Detection, Categorization, Retrieval",Poster,1.1,33,A,,,
1279,Learning Channel-wise Interactions for Binary Convolutional Neural Networks,Ziwei Wang (Tsinghua University); Jiwen Lu (Tsinghua University)*; Chenxin Tao (Tsinghua University); Jie Zhou (Tsinghua University); Qi Tian (Huawei Noah’s Ark Lab),Deep Learning,,Poster,1.1,34,A,,,
1290,Knowledge Translation and Adaptation for Efficient Semantic Segmentation,Tong He (The University of Adelaide); Chunhua Shen (University of Adelaide)*; Zhi Tian (The University of Adelaide); Dong Gong (The University of Adelaide); Youliang Yan (Huawei); Changming Sun (CSIRO Data61),Deep Learning,"Scene Analysis and Understanding; Segmentation, Grouping and Shape",Poster,1.1,35,A,,,
7000,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness against Adversarial Attack,Zhezhi He (University of Central Florida)*; Adnan Siraj Rakin (University of Central Florida); Deliang Fan (University of Central Florida),Deep Learning,"Optimization Methods; Recognition: Detection, Categorization, Retrieval",Poster,1.1,36,A,,,
17,Invariance Matters: Exemplar Memory for Domain Adaptive Person Re-identification,"Zhun Zhong (Xiamen University)*; Liang Zheng (Australian National University); Zhiming Luo (Xiamen University); Shaozi Li (Xiamen University, China); Yi Yang (UTS)","Recognition: Detection, Categorization, Retrieval",Deep Learning,Poster,1.1,37,B,,,
19,Dissecting Person Re-identification from the Viewpoint of Viewpoint,Xiaoxiao Sun (Singapore University of Technology and Design)*; Liang Zheng (Australian National University),"Recognition: Detection, Categorization, Retrieval",Datasets and Evaluation,Poster,1.1,38,B,,,
158,Learning to Reduce Dual-level Discrepancy for Infrared-Visible Person Re-identification,Zhixiang Wang (National Taiwan University); Zheng Wang (National Institute of Informatics)*; Yinqiang Zheng (National Institute of Informatics); Yung-Yu Chuang (National Taiwan University); Shin'ichi Satoh (National Institute of Informatics),"Recognition: Detection, Categorization, Retrieval","Face, Gesture, and Body Pose",Poster,1.1,39,B,,,
208,Progressive Feature Alignment for Unsupervised Domain Adaptation,Chaoqi Chen (Xiamen University); Weiping Xie (Xiamen University); Tingyang Xu (Tencent AI Lab); Wenbing Huang (Tencent AI Lab); Yu Rong (Tencent AI Lab); Xinghao Ding (Xiamen University); Yue Huang (Xiamen University)*; Junzhou Huang (University of Texas at Arlington),"Recognition: Detection, Categorization, Retrieval",Deep Learning ; Representation Learning,Poster,1.1,40,B,,,
278,Feature-level Frankenstein: Eliminating Variations for Discriminative Recognition,"Xiaofeng Liu (CMU)*; B.V.K. Kumar (CMU); Site Li (Carnegie Mellon University); Ping Jia (Changchun Institute of Optics, Fine Mechanics and Physics); Wanqing Xie (Harvard Medical School); Jane You (HK Poly U); Lingsheng Kong (Changchun Institute of Optics, Fine Mechanics and Physics)","Recognition: Detection, Categorization, Retrieval",Biometrics,Poster,1.1,41,B,,,
300,Learning a Deep ConvNet for Multi-label Classification with Partial Labels,Thibaut Durand (Simon Fraser University)*; Nazanin Mehrasa (Simon Fraser University); Greg Mori (Simon Fraser University),"Recognition: Detection, Categorization, Retrieval",Deep Learning,Poster,1.1,42,B,,,
366,Generalized Intersection over Union: A Metric and A Loss for Bounding Box Regression,"Hamid Rezatofighi (University of Adelaide)*; Nathan Tsoi (Stanford University); JunYoung Gwak (Stanford University); Amir A Sadeghian (Stanford); Ian Reid (""University of Adelaide, Australia""); Silvio Savarese (Stanford University)","Recognition: Detection, Categorization, Retrieval",Deep Learning,Poster,1.1,43,B,,,
677,Densely Semantically Aligned Person Re-Identification,Zhizheng Zhang (University of Science and Technology of China); Cuiling Lan (Microsoft Research)*; Wenjun Zeng (Microsoft Research); Zhibo Chen (University of Science and Technology of China),"Recognition: Detection, Categorization, Retrieval",Representation Learning; Vision Applications and Systems,Poster,1.1,44,B,,,
698,Generalising Fine-Grained Sketch-Based Image Retrieval,Kaiyue Pang (Queen Mary University of London)*; Ke Li (BUPT); Yongxin Yang (University of Edinburgh ); Honggang Zhang (Beijing University of Posts and Telecommunications); Yi-Zhe Song (Queen Mary University of London); Tao Xiang (University of Surrey); Timothy Hospedales (Edinburgh University),"Recognition: Detection, Categorization, Retrieval","Big Data, Large Scale Methods ; Deep Learning ; Vision Applications and Systems",Poster,1.1,45,B,,,
764,Adapting Object Detectors via Selective Cross-Domain Alignment,Xinge Zhu (The Chinese University of Hong Kong)*; Jiangmiao Pang (Zhejiang University); Ceyuan Yang (Chinese University of Hong Kong); Jianping Shi (Sensetime Group Limited); Dahua Lin (The Chinese University of Hong Kong),"Recognition: Detection, Categorization, Retrieval","Scene Analysis and Understanding; Segmentation, Grouping and Shape",Poster,1.1,46,B,,,
774,Cyclic Guidance for Weakly Supervised Joint Detection and Segmentation,"Yunhang Shen (Xiamen University); Rongrong Ji (Xiamen University, China)*; Yan Wang (Microsoft); Yongjian Wu (Tencent Technology (Shanghai) Co.,Ltd); Liujuan Cao (Xiamen University)","Recognition: Detection, Categorization, Retrieval",,Poster,1.1,47,B,,,
802,Thinking Outside the Pool: Active Training Image Creation for Relative Attributes,Aron Yu (University of Texas at Austin)*; Kristen Grauman (Facebook AI Research & UT Austin),"Recognition: Detection, Categorization, Retrieval",Image and Video Synthesis,Poster,1.1,48,B,,,
848,Generalizable Person Re-identification by Domain-Invariant Mapping Network,"Jifei Song (Queen Mary, University of London)*; Yongxin Yang (University of Edinburgh ); Yi-Zhe Song (Queen Mary University of London); Tao Xiang (University of Surrey); Timothy Hospedales (Edinburgh University)","Recognition: Detection, Categorization, Retrieval","Big Data, Large Scale Methods ; Datasets and Evaluation; Deep Learning ; Face, Gesture, and Body Pos",Poster,1.1,49,B,,,
851,Visual Attention Consistency under Image Transforms for Multi-label Image Classification,Hao Guo (University of South Carolina)*; Kang Zheng (University of South Carolina); Xiaochuan Fan (University of South Carolina); Hongkai Yu (University of Texas - Rio Grande Valley); Song Wang (University of South Carolina),"Recognition: Detection, Categorization, Retrieval",,Poster,1.1,50,B,,,
866,Re-ranking via Metric Fusion for Object Retrieval and Person Re-identification,Song Bai (University of Oxford)*; Peng Tang (Huazhong University of Science and Technology); Longin Jan Latecki (Temple University); Philip Torr (University of Oxford),"Recognition: Detection, Categorization, Retrieval","3D from Multiview and Sensors; Representation Learning; Segmentation, Grouping and Shape",Poster,1.1,51,B,,,
956,Unsupervised Domain Adaptation by Semantic Discrepancy Minimization,"Junbao Zhuo (ICT CAS); Shuhui Wang (VIPL,ICT,Chinese academic of science)*; Shuhao Cui ( ICT CAS); Qingming Huang (University of Chinese Academy of Sciences)","Recognition: Detection, Categorization, Retrieval",Deep Learning ; Representation Learning; Visual Reasoning,Poster,1.1,52,B,,,
964,Weakly Supervised Person Re-Identification,"Jingke Meng (Sun Yat-Sun University); Sheng Wu (Sen Yat-Sun University); WEI-SHI ZHENG (Sun Yat-sen University, China)*","Recognition: Detection, Categorization, Retrieval","Face, Gesture, and Body Pose ; Scene Analysis and Understanding",Poster,1.1,53,B,,,
993,PointRCNN: 3D Object Proposal Generation and Detection from Point Cloud,"Shaoshuai Shi (The Chinese University of Hong Kong)*; Hongsheng Li (Chinese University of Hong Kong); Xiaogang Wang (Chinese University of Hong Kong, Hong Kong)","Recognition: Detection, Categorization, Retrieval",3D from Multiview and Sensors,Poster,1.1,54,B,,,
1023,Automatic adaptation of object detectors to new domains using self-training,"Aruni RoyChowdhury (University of Massachusetts, Amherst)*; Prithvijit Chakrabarty (University of Massachusetts, Amherst); Ashish Singh (UMASS Amherst); SouYoung Jin (UMASS Amherst); Huaizu Jiang (UMass Amherst); Liangliang Cao (UMass Amherst); Erik Learned-Miller (University of Massachusetts, Amherst)","Recognition: Detection, Categorization, Retrieval","Big Data, Large Scale Methods ; Face, Gesture, and Body Pose ; Motion and Tracking; Robotics + Drivi",Poster,1.1,55,B,,,
1050,Deep Sketch-Shape Hashing with Segmented 3D Stochastic Viewing,Jiaxin Chen (Inception Institute of Artificial Intelligence)*; Jie Qin (Inception Institute of Artificial Intelligence); Li Liu (the inception institute of artificial intelligence); Fan Zhu (Inception Institute of Artificial Intelligence); Fumin Shen (UESTC); Jin Xie (Nanjing University of Science and Technology); Ling Shao (Inception Institute of Artificial Intelligence),"Recognition: Detection, Categorization, Retrieval",3D from Multiview and Sensors; Deep Learning,Poster,1.1,56,B,,,
1062,Generative Dual Adversarial Network for Generalized Zero-shot Learning,He Huang (University of Illinois at Chicago)*; Changhu Wang (ByteDance.Inc); Philip S Yu (UIC); Chang-Dong Wang (Sun Yat-sen University),"Recognition: Detection, Categorization, Retrieval",Deep Learning,Poster,1.1,57,B,,,
1115,Query-guided End-to-End Person Search,"Bharti Munjal (OSRAM)*; Sikandar Amin (OSRAM GmbH); Federico Tombari (Technical University of Munich, Germany); Fabio Galasso (OSRAM)","Recognition: Detection, Categorization, Retrieval",Scene Analysis and Understanding,Poster,1.1,58,B,,,
1128,Libra R-CNN: Balanced Learning for Object Detection,Jiangmiao Pang (Zhejiang University)*; Kai Chen (The Chinese University of Hong Kong); Jianping Shi (Sensetime Group Limited); Wanli Ouyang (The University of Sydney); Dahua Lin (The Chinese University of Hong Kong); Huajun Feng (Zhejiang Univerisity),"Recognition: Detection, Categorization, Retrieval",Deep Learning,Poster,1.1,59,B,,,
1165,Learning a Unified Classifier Incrementally via Rebalancing,"Saihui Hou (University of Science and Technology of China)*; Xinyu Pan (MMLAB, CUHK); Chen Change Loy (Nanyang Technological University); Zilei Wang (University of Science and Technology of China); Dahua Lin (The Chinese University of Hong Kong)","Recognition: Detection, Categorization, Retrieval",Representation Learning,Poster,1.1,60,B,,,
1260,Feature Selective Anchor-Free Module for Single-Shot Object Detection,Chenchen Zhu (Carnegie Mellon University)*; Yihui He (Carnegie Mellon University); Marios Savvides (Carnegie Mellon University),"Recognition: Detection, Categorization, Retrieval",,Poster,1.1,62,B,,,
1324,Bottom-up Object Detection by Grouping Extreme and Center Points,Xingyi Zhou (The University of Texas at Austin)*; Jiacheng Zhuo (The University of Texas at Austin); Philipp Kraehenbuehl (UT Austin),"Recognition: Detection, Categorization, Retrieval","Deep Learning ; Face, Gesture, and Body Pose ; Segmentation, Grouping and Shape",Poster,1.1,63,B,,,
6349,Feature Distillation: DNN-Oriented JPEG Compression Against Adversarial Examples,Zihao Liu (Florida International University)*; Tao Liu (Florida International University); Qi Liu (Florida International University ); Nuo Xu (Florida International University); Xue Lin (Northeastern University); Yanzhi Wang (Northeastern University); Wujie Wen (Florida International University),"Recognition: Detection, Categorization, Retrieval",Others,Poster,1.1,64,B,,,
68,SCOPS: Self-Supervised Co-Part Segmentation,"Wei-Chih Hung (University of California, Merced)*; Varun Jampani (Nvidia Research); Sifei Liu (NVIDIA); Pavlo Molchanov (NVIDIA); Ming-Hsuan Yang (University of California at Merced); Jan Kautz (NVIDIA)","Segmentation, Grouping and Shape",Deep Learning ; Scene Analysis and Understanding,Poster,1.1,65,C,,,
838,Unsupervised Moving Object Detection via Contextual Information Separation,"Yanchao Yang (UCLA)*; Antonio Loquercio (ETH / University of Zurich); Davide Scaramuzza (University of Zurich & ETH Zurich, Switzerland); Stefano Soatto (UCLA)","Segmentation, Grouping and Shape",Representation Learning; Scene Analysis and Understanding; Statistical Learning,Poster,1.1,66,C,,,
1291,Pose2Seg: Detection Free Human Instance Segmentation,Song-Hai Zhang (Tsinghua University); Ruilong Li (Tsinghua University)*; Xin Dong (Tsinghua University); Paul Rosin (Cardiff University); Zixi Cai (Tsinghua University); Xi Han (Tsinghua University); Dingcheng Yang (Tsinghua University); Hao-Zhi Huang (Tencent AI Lab); Shimin Hu (Tsinghua University),"Segmentation, Grouping and Shape","Face, Gesture, and Body Pose",Poster,1.1,67,C,,,
156,DrivingStereo: A Large-Scale Dataset for Stereo Matching in Autonomous Driving Scenarios,Guorun Yang (Tsinghua University)*; Xiao Song (Sensetime Group Limited); Chaoqin Huang (Shanghai Jiao Tong University); Zhidong Deng (Tsinghua University); Jianping Shi (Sensetime Group Limited); Bolei Zhou (CUHK),Datasets and Evaluation,3D from Multiview and Sensors; Low-level Vision; Robotics + Driving,Poster,1.1,68,D,,,
177,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding,Kaichun Mo (Stanford)*; Shilin Zhu (UCSD); Angel X Chang (Eloquent Labs); Li Yi (Stanford); Subarna Tripathi (Intel AI Lab); Leonidas Guibas (Stanford University); Hao Su (UCSD),Datasets and Evaluation,"Big Data, Large Scale Methods ; Deep Learning ; Recognition: Detection, Categorization, Retrieval; S",Poster,1.1,69,D,,,
503,A Dataset and Benchmark for Large-scale Multi-modal Face Anti-Spoofing,"Shifeng Zhang (CBSR, NLPR, CASIA)*; Xiaobo Wang (JD AI Research); Ajian Liu (MUST); Chenxu Zhao (JD AI Research); Jun Wan (NLPR, CASIA); Sergio Escalera (Computer Vision Center (UAB) & University of Barcelona,); Hailin Shi (JD AI Research); Zezheng Wang (Jingdong Finance); Stan Li (National Lab. of Pattern Recognition, China)",Datasets and Evaluation,Biometrics,Poster,1.1,70,D,,,
1047,Unsupervised Learning of Consensus Maximization for 3D Vision Problems,Thomas Probst (ETH Zurich)*; Danda Pani Paudel (ETH Zürich); Ajad Chhatkuli (ETH Zurich); Luc Van Gool (ETH Zurich),Computer Vision Theory,Deep Learning,Poster,1.1,71,D,,,
1257,Detecting Private Information and Its Purpose in Pictures Taken by Blind People,"Danna Gurari (University of Texas at Austin); Qing Li (University of California, Los Angeles); Chi Lin (University of Texas at Austin); Yinan Zhao (University of Texas at Austin)*; Anhong Guo (Carnegie Mellon University); Abigale Stangl (University of Colorado Boulder); Jeffrey Bigham (Carnegie Mellon University)",Datasets and Evaluation,Vision + Language ; Vision Applications and Systems,Poster,1.1,72,D,,,
494,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration without Correspondences,Huu Minh Le (Queensland University of Technology)*; Thanh-Toan Do (The University of Liverpool); Tuan NA Hoang (Singapore University of Technology and Design); Ngai-Man Cheung (Singapore University of Technology and Design),3D from Multiview and Sensors,,Oral,1.1,73,E,,,
2315,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,Thomas Schöps (ETH Zurich)*; Torsten Sattler (Chalmers University of Technology); Marc Pollefeys (ETH Zurich / Microsoft),3D from Multiview and Sensors,Datasets and Evaluation; RGBD sensors and analytics,Oral,1.1,74,E,,,
2286,Revealing Scenes by Inverting Structure from Motion Reconstructions,Francesco Pittaluga (University of Florida)*; Sanjeev J Koppal (University of Florida); Sing Bing Kang (Microsoft Research); Sudipta Sinha (Microsoft Research),3D from Multiview and Sensors,Deep Learning ; Image and Video Synthesis,Oral,1.1,75,E,,,
1185,Strand-accurate Multi-view Hair Capture,Giljoo Nam (KAIST)*; Chenglei Wu (Facebook Reality Labs); Min H. Kim (KAIST); Yaser Sheikh (Facebook Reality Labs),3D from Multiview and Sensors,Vision + Graphics,Oral,1.1,76,E,,,
6756,DeepSDF: Learning Continuous Signed Distance Functionsfor Shape Representation,Jeong Joon Park (University of Washington)*; Peter R Florence (MIT); Julian Straub (Facebook Reality Labs); Richard Newcombe (Facebook); Steven Lovegrove (Facebook),Deep Learning,3D from Multiview and Sensors; Representation Learning; Vision + Graphics,Oral,1.1,77,E,,,
2957,Pushing the Boundaries of View Extrapolation with Multiplane Images,Pratul Srinivasan (UC Berkeley)*; Richard Tucker (Google); Jonathan T Barron (Google Research); Ravi Ramamoorthi (University of California San Diego); Ren Ng (UC Berkeley); Noah Snavely (Cornell University and Google AI),3D from Multiview and Sensors,Computational Photography; Image and Video Synthesis; Vision + Graphics,Oral,1.1,78,E,,,
1935,GA-Net: Guided Aggregation Net for End-to-end Stereo Matching,Feihu Zhang (University of Oxford)*; Victor Adrian Prisacariu (University of Oxford); Yang Ruigang (Baidu); Philip Torr (University of Oxford),3D from Multiview and Sensors,Deep Learning,Oral,1.1,79,E,,,
2901,Real-time self-adaptive deep stereo,Alessio Tonioni (University of Bologna); Fabio Tosi (University of Bologna); Matteo Poggi (University of Bologna)*; Stefano Mattoccia (University of Bologna); Luigi Di Stefano (University of Bologna),3D from Multiview and Sensors,Deep Learning ; Low-level Vision,Oral,1.1,80,E,,,
6639,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Sunok Kim (Yonsei University); Seungryong Kim (Yonsei University); Dongbo Min (Ewha Womans University); Kwanghoon Sohn (Yonsei Univ.)*,3D from Multiview and Sensors,Others,Oral,1.1,81,E,,,
3522,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,Chen Zhao (Huazhong University of Science and Technology); Zhiguo Cao (Huazhong Univ. of Sci.&Tech.); chi li (Huazhong University of Science and Technology); Xin Li (West Virginia University); Jiaqi Yang (Huazhong Univ. of Sci.&Tech.)*,3D from Multiview and Sensors,Representation Learning,Oral,1.1,82,E,,,
5852,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,Matthew Trager (NYU)*; Martial Hebert (Carnegie Mellon University); Jean Ponce (Inria),3D from Multiview and Sensors,Computer Vision Theory,Oral,1.1,83,E,,,
