Paper ID,Paper Title,Author Names,Primary Subject Area,Secondary Subject Areas,Status,Day.Time.Track,Group,Topic,,,Track 1,Track 2,Track 3
2230,Striking the Right Balance with Uncertainty,Salman Khan (Australian National University (ANU)); Munawar Hayat (University of Canberra); Waqas Zamir (IIAI); Jianbing Shen (Beijing Institute of Technology)*; Ling Shao (Inception Institute of Artificial Intelligence),Deep Learning,Low-level Vision,Oral,1.1.1,4,,,,,,
2368,AutoAugment: Learning Augmentation Strategies from Data,Ekin D Cubuk (Google Brain)*; Barret Zoph (Google); Dandelion Mane (Protocol Labs); Vijay Vasudevan (Google Brain); Quoc Le (Google Brain),Deep Learning,,Oral,1.1.1,4,,,,,,
494,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration without Correspondences,Huu Minh Le (Queensland University of Technology)*; Thanh-Toan Do (The University of Liverpool); Tuan NA Hoang (Singapore University of Technology and Design); Ngai-Man Cheung (Singapore University of Technology and Design),3D from Multiview and Sensors,,Oral,1.1.2,1,3D Multiview,,,,,
2315,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,Thomas Schöps (ETH Zurich)*; Torsten Sattler (Chalmers University of Technology); Marc Pollefeys (ETH Zurich / Microsoft),3D from Multiview and Sensors,Datasets and Evaluation; RGBD sensors and analytics,Oral,1.1.2,1,,,,,,
2286,Revealing Scenes by Inverting Structure from Motion Reconstructions,Francesco Pittaluga (University of Florida)*; Sanjeev J Koppal (University of Florida); Sing Bing Kang (Microsoft Research); Sudipta Sinha (Microsoft Research),3D from Multiview and Sensors,Deep Learning ; Image and Video Synthesis,Oral,1.1.2,1,,,,,,
1185,Strand-accurate Multi-view Hair Capture,Giljoo Nam (KAIST)*; Chenglei Wu (Facebook Reality Labs); Min H. Kim (KAIST); Yaser Sheikh (Facebook Reality Labs),3D from Multiview and Sensors,Vision + Graphics,Oral,1.1.2,2,,,,,,
6756,DeepSDF: Learning Continuous Signed Distance Functionsfor Shape Representation,Jeong Joon Park (University of Washington)*; Peter R Florence (MIT); Julian Straub (Facebook Reality Labs); Richard Newcombe (Facebook); Steven Lovegrove (Facebook),Deep Learning,3D from Multiview and Sensors; Representation Learning; Vision + Graphics,Oral,1.1.2,2,,,,,,
2957,Pushing the Boundaries of View Extrapolation with Multiplane Images,Pratul Srinivasan (UC Berkeley)*; Richard Tucker (Google); Jonathan T Barron (Google Research); Ravi Ramamoorthi (University of California San Diego); Ren Ng (UC Berkeley); Noah Snavely (Cornell University and Google AI),3D from Multiview and Sensors,Computational Photography; Image and Video Synthesis; Vision + Graphics,Oral,1.1.2,2,,,,,,
1935,GA-Net: Guided Aggregation Net for End-to-end Stereo Matching,Feihu Zhang (University of Oxford)*; Victor Adrian Prisacariu (University of Oxford); Yang Ruigang (Baidu); Philip Torr (University of Oxford),3D from Multiview and Sensors,Deep Learning,Oral,1.1.2,3,,,,,,
2901,Real-time self-adaptive deep stereo,Alessio Tonioni (University of Bologna); Fabio Tosi (University of Bologna); Matteo Poggi (University of Bologna)*; Stefano Mattoccia (University of Bologna); Luigi Di Stefano (University of Bologna),3D from Multiview and Sensors,Deep Learning ; Low-level Vision,Oral,1.1.2,3,,,,,,
6639,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Sunok Kim (Yonsei University); Seungryong Kim (Yonsei University); Dongbo Min (Ewha Womans University); Kwanghoon Sohn (Yonsei Univ.)*,3D from Multiview and Sensors,Others,Oral,1.1.2,3,,,,,,
3522,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,Chen Zhao (Huazhong University of Science and Technology); Zhiguo Cao (Huazhong Univ. of Sci.&Tech.); chi li (Huazhong University of Science and Technology); Xin Li (West Virginia University); Jiaqi Yang (Huazhong Univ. of Sci.&Tech.)*,3D from Multiview and Sensors,Representation Learning,Oral,1.1.2,4,,,,,,
5852,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,Matthew Trager (NYU)*; Martial Hebert (Carnegie Mellon University); Jean Ponce (Inria),3D from Multiview and Sensors,Computer Vision Theory,Oral,1.1.2,4,,,,,,
1944,Deep Reinforcement Learning of Volume-guided Progressive View Inpainting for 3D Point Scene Completion from a Single Depth Image,"Xiaoguang Han (Shenzhen Research Institute of Big Data, the Chinese University of Hong Kong (Shenzhen))*; Zhaoxuan Zhang (Dalian University of Technology, Shenzhen Research Institute of Big Data); Dong Du (University of Science and Technology of China, Shenzhen Research Institute of Big Data); Mingdai Yang (Chinese University of Hong Kong, Shenzhen); Jingming Yu (Alibaba); Pan Pan (Alibaba Group); Xin Yang (Dalian University of Technology); Ligang Liu (University of Science and Technology of China); Zixiang Xiong (Texas A&M University); Shuguang Cui (The Chinese University of Hong Kong, Shenzhen )",3D from Multiview and Sensors,Deep Learning,Oral,1.1.2,4,,,,,,
292,Video Action Transformer Network,Rohit Girdhar (Carnegie Mellon University)*; Joao Carreira (DeepMind); Carl Doersch (DeepMind); Andrew Zisserman (University of Oxford),Action Recognition,Deep Learning,Oral,1.1.3,1,Action & Video,,,,,
302,Timeception for Complex Action Recognition,Noureldien Hussein (University of Amsterdam)*; Stratis Gavves (University of Amsterdam); Arnold W.M. Smeulders (University of Amsterdam),Action Recognition,Video Analytics,Oral,1.1.3,1,,,,,,
1670,STEP: Spatio-Temporal Progressive Learning for Video Action Detection,Xitong Yang (University of Maryland)*; Xiaodong Yang (NVIDIA Research); Ming-Yu Liu (NVIDIA); Fanyi Xiao (University of California Davis); Larry Davis (University of Maryland); Jan Kautz (NVIDIA),Video Analytics,,Oral,1.1.3,1,,,,,,
1745,Relational Action Forecasting,Chen Sun (Google)*; Abhinav Shrivastava (University of Maryland); Carl Vondrick (Columbia University); Rahul Sukthankar (Google); Kevin Murphy (Google); Cordelia Schmid (Google),Action Recognition,Video Analytics,Oral,1.1.3,2,,,,,,
2310,Long-Term Feature Banks for Detailed Video Understanding,Chao-Yuan Wu (UT Austin)*; Christoph Feichtenhofer (Facebook AI Research); Haoqi Fan (Facebook AI Research); Kaiming He (Facebook AI Research); Philipp Kraehenbuehl (UT Austin); Ross Girshick (FAIR),Action Recognition,"Deep Learning ; Recognition: Detection, Categorization, Retrieval; Scene Analysis and Understanding;",Oral,1.1.3,2,,,,,,
229,Which Way Are You Going? Imitative Decision Learning for Path Forecasting in Dynamic Scenes,Yuke Li (York University)*,Motion and Tracking,Video Analytics,Oral,1.1.3,2,,,,,,
3106,What and How Well You Performed? A Multitask Approach To Action Quality Assessment,Paritosh Parmar (UNLV)*; Brendan Morris (UNLV),"Face, Gesture, and Body Pose",Action Recognition ; Datasets and Evaluation; Video Analytics,Oral,1.1.3,3,,,,,,
1382,MHP-VOS: Video Object Segmentation with Multiple Hypotheses Propagation,Shuangjie Xu (Huazhong University of Science and Technology); Daizong Liu (Huazhong University of Science and Technology); Linchao Bao (Tencent AI Lab)*; Wei Liu (Tencent); Pan Zhou ( Huazhong University of Science and Technology),Video Analytics,"Motion and Tracking; Segmentation, Grouping and Shape",Oral,1.1.3,3,,,,,,
1517,2.5D Visual Sound,Ruohan Gao (University of Texas at Austin)*; Kristen Grauman (Facebook AI Research & UT Austin),Video Analytics,"Recognition: Detection, Categorization, Retrieval; Representation Learning",Oral,1.1.3,3,,,,,,
1999,Language-driven Temporal Activity Localization: A Semantic Matching Reinforcement Learning Model,"Weining Wang (Institute of Automation, Chinese Academy of Sciences)*; Yan Huang (Institute of Automation, Chinese Academy of Sciences); Liang Wang (NLPR, China)",Video Analytics,Vision + Language,Oral,1.1.3,4,,,,,,
5591,Gaussian Temporal Awareness Networks for Action Localization,Fuchen Long (University of Science and Technology of China); Ting Yao (JD AI Research)*; Zhaofan Qiu (University of Science and Technology of China); Xinmei Tian (USTC); Jiebo Luo (U. Rochester); Tao Mei (AI Research of JD.com),Video Analytics,Action Recognition,Oral,1.1.3,4,,,,,,
6940,Efficient Video Classification Using Fewer Frames,"Shweta Bhardwaj (Indian Institute of Technology Madras, Chennai)*; Mukundhan Srinivasan (NVIDIA); Mitesh M. Khapra (Indian Institute of Technology Madras)",Video Analytics,Deep Learning ; Vision Applications and Systems,Oral,1.1.3,4,,,,,,
16,Joint Discriminative and Generative Learning for Person Re-identification,"Zhedong Zheng (University of Technology Sydney)*; Xiaodong Yang (NVIDIA Research); Zhiding Yu (NVIDIA); Liang Zheng (Australian National University); Yi Yang (University of Technology, Sydney); Jan Kautz (NVIDIA)","Recognition: Detection, Categorization, Retrieval","Face, Gesture, and Body Pose ; Representation Learning",Oral,1.2.1,1,Recognition,,,,,
522,Unsupervised Person Re-identification by Soft Multilabel Learning,"Hong-Xing Yu (Sun Yat-Sen University); WEI-SHI ZHENG (Sun Yat-sen University, China)*; Ancong Wu (Sun Yat-sen University); Xiaowei Guo (Tencent Youtu Lab); Shaogang Gong (Queen Mary University of London); Jian-Huang Lai (Sun Yat-sen University)",Biometrics,"Recognition: Detection, Categorization, Retrieval; Video Analytics",Oral,1.2.1,1,,,,,,
2262,Learning Context Graph for Person Search,Yichao Yan (Shanghai Jiao Tong University)*; Qiang Zhang (Shanghai Jiao Tong University); Bingbing Ni (Shanghai Jiao Tong University); Wendong Zhang (Shanghai Jiao Tong University); Minghao Xu (Shanghai Jiaotong University); Xiaokang Yang (Shanghai Jiao Tong University of China),"Recognition: Detection, Categorization, Retrieval",Visual Reasoning,Oral,1.2.1,1,,,,,,
220,Gradient Matching Generative Networks for Zero-Shot Learning,Mert Bulent Sariyildiz (Bilkent University)*; Ramazan Gokberk Cinbis (METU),"Recognition: Detection, Categorization, Retrieval",Vision + Language,Oral,1.2.1,2,,,,,,
4499,Doodle to Search: Practical Zero-Shot Sketch-based Image Retrieval,"Sounak Dey (Computer Vision Center)*; Pau Riba (Computer Vision Center); Anjan Dutta (Computer Vision Center); Josep Llados (""Computer Vision Center, Barcelona""); Yi-Zhe Song (Queen Mary University of London)","Recognition: Detection, Categorization, Retrieval",Deep Learning ; Vision + Graphics ; Vision Applications and Systems,Oral,1.2.1,2,,,,,,
5230,Zero-Shot Task Transfer,"Arghya Pal ( Indian Institute of Technology Hyderabad)*; Vineeth N Balasubramanian (Indian Institute of Technology, Hyderabad)",Representation Learning,Computer Vision Theory; Deep Learning ; Optimization Methods; Vision + Graphics ; Vision Application,Oral,1.2.1,2,,,,,,
906,C-MIL: Continuation Multiple Instance Learning for Weakly Supervised Object Detection,"Fang Wan (University of Chinese Academy of Sciences)*; Chang Liu (University of Chinese Academy of Sciences); Wei Ke (University of Chinese Academy of Sciences); Xiangyang Ji (Tsinghua University); Jianbin Jiao (University of Chinese Academy of Sciences); Qixiang Ye (University of Chinese Academy of Sciences, China)","Recognition: Detection, Categorization, Retrieval",Optimization Methods; Others; Statistical Learning; Visual Reasoning,Oral,1.2.1,3,,,,,,
2973,Learning Inter-pixel Relations for Weakly Supervised Instance Segmentation,Jiwoon Ahn (DGIST); Sunghyun Cho (DGIST); Suha Kwak (POSTECH)*,"Recognition: Detection, Categorization, Retrieval","Segmentation, Grouping and Shape",Oral,1.2.1,3,,,,,,
3916,Attention-based Dropout Layer for Weakly Supervised Object Localization,Junsuk Choe (Yonsei University); Hyunjung Shim (Yonsei University)*,"Recognition: Detection, Categorization, Retrieval",Deep Learning ; Scene Analysis and Understanding,Oral,1.2.1,3,,,,,,
1019,Domain Generalization by Solving Jigsaw Puzzles,Fabio M. Carlucci (Huawei); Antonio D'Innocente (Sapienza Università di Roma); Silvia Bucci (Italian Institute of Technology); Barbara Caputo (IIT); Tatiana Tommasi (Italian Institute of Technology)*,"Recognition: Detection, Categorization, Retrieval",Deep Learning,Oral,1.2.1,4,,,,,,
3628,Transferrable Prototypical Networks for Unsupervised Domain Adaptation,Yingwei Pan (JD AI Research)*; Ting Yao (JD AI Research); Yehao Li (Sun Yat-Sen University); Yu Wang (JD AI Research); Chong-Wah Ngo (City University of Hong Kong); Tao Mei (AI Research of JD.com),"Recognition: Detection, Categorization, Retrieval",,Oral,1.2.1,4,,,,,,
1182,Adversarial Meta-Adaptation Network for Blending-target Domain Adaptation,Ziliang Chen (Sun Yat-sen University)*; Jingyu Zhuang (Sun Yat-sen University); Xiaodan Liang (Sun Yat-sen University); Liang Lin (Sun Yat-sen University),"Recognition: Detection, Categorization, Retrieval",Deep Learning,Oral,1.2.1,4,,,,,,
1113,ELASTIC: Improving CNNs by Instance Specific Scaling Policies,"Huiyu Wang (Johns Hopkins University)*; Aniruddha Kembhavi (Allen Institute for Artificial Intelligence); Ali Farhadi (University of Washington, Allen Institute for Artificial Intelligence); Alan Yuille (Johns Hopkins University); Mohammad Rastegari (Allen Institute for Artificial Intelligence)","Recognition: Detection, Categorization, Retrieval",Deep Learning,Oral,1.2.1,5,,,,,,
1782,ScratchDet: Training Single-Shot Object Detectors from Scratch,"Rui Zhu (JD AI Research)*; Shifeng Zhang (CBSR, NLPR, CASIA); Xiaobo Wang (JD AI Research); Longyin Wen (JD Digits); Hailin Shi (JD AI Research); Liefeng Bo (JD Finance); Tao Mei (AI Research of JD.com)","Recognition: Detection, Categorization, Retrieval",Deep Learning,Oral,1.2.1,5,,,,,,
3294,SFNet: Learning Object-aware Semantic Correspondence,Junghyup Lee (Yonsei University); DOHYUNG KIM (YONSEI UNIVERSITY); Jean Ponce (Inria); Bumsub Ham (Yonsei University)*,"Recognition: Detection, Categorization, Retrieval",Motion and Tracking; Scene Analysis and Understanding,Oral,1.2.1,5,,,,,,
1294,Deep Metric Learning Beyond Binary Supervision,Sungyoun Kim (POSTECH); Minkyo Seo (POSTECH); Ivan Laptev (INRIA Paris); Minsu Cho (POSTECH); Suha Kwak (POSTECH)*,"Recognition: Detection, Categorization, Retrieval",,Oral,1.2.1,6,,,,,,
1510,Learning to Cluster Faces on an Affinity Graph,Lei Yang (The Chinese University of Hong Kong)*; Xiaohang Zhan (The Chinese University of Hong Kong); Dapeng Chen (Sensetime Group Limited); Junjie Yan (Sensetime Group Limited); Chen Change Loy (Nanyang Technological University); Dahua Lin (The Chinese University of Hong Kong),"Recognition: Detection, Categorization, Retrieval","Deep Learning ; Face, Gesture, and Body Pose ; Segmentation, Grouping and Shape",Oral,1.2.1,6,,,,,,
1610,C2AE: Class Conditioned Auto-Encoder for Open-set Recognition,Poojan B Oza (Johns Hopkins University)*; Vishal Patel (Johns Hopkins University),"Recognition: Detection, Categorization, Retrieval",Vision Applications and Systems,Oral,1.2.1,6,,,,,,
1426,Shapes and Context: In-the-wild Image Synthesis & Manipulation,Aayush Bansal (Carnegie Mellon University)*; Yaser Sheikh (CMU); Deva Ramanan (Carnegie Mellon University),Image and Video Synthesis,"Big Data, Large Scale Methods ; Segmentation, Grouping and Shape; Vision + Graphics",Oral,1.2.2,1,Synthesis,,,,,
462,Semantics Disentangling for Text-to-Image Generation,"Guojun Yin (University of Science and Technology of China); Bin Liu (University of Science and Technology of China); Lu Sheng (The Chinese University of Hong Kong)*; Nenghai Yu (University of Science and Technology of China); Xiaogang Wang (Chinese University of Hong Kong, Hong Kong); Jing Shao (Sensetime)",Image and Video Synthesis,Vision + Language,Oral,1.2.2,1,,,,,,
2072,Semantic Image Synthesis with Spatially-Adaptive Normalization,Taesung Park (UC Berkeley)*; Ming-Yu Liu (NVIDIA); Ting-Chun Wang (NVIDIA); Jun-Yan Zhu (MIT),Image and Video Synthesis,Computational Photography; Deep Learning ; Vision + Graphics,Oral,1.2.2,1,,,,,,
609,Progressive Pose Attention Transfer for Person Image Generation,Zhen Zhu (Huazhong University of Science and Technology)*; Tengteng Huang (Huazhong University of Science and Technology); Baoguang Shi (Microsoft); Miao Yu (Huazhong University of Science and Technology); Bofei Wang (ZTE Corporation); Xiang Bai (Huazhong University of Science and Technology),Image and Video Synthesis,,Oral,1.2.2,2,,,,,,
3269,Unsupervised Person Image Generation with Semantic Parsing Transformation,Sijie Song (Peking University)*; Wei Zhang (JD AI Research); Jiaying Liu (Peking University); Tao Mei (AI Research of JD.com),Image and Video Synthesis,Vision Applications and Systems,Oral,1.2.2,2,,,,,,
2439,DeepView: View synthesis with learned gradient descent,John P Flynn (Google Inc)*; Michael Broxton (Google); Paul E Debevec (Google VR); Graham Fyffe (Google Inc.); Ryan S. Overbeck (Google Inc.); Noah Snavely (Google); Richard Tucker (Google); Matthew DuVall (Google),Image and Video Synthesis,3D from Multiview and Sensors; Computational Photography; Deep Learning ; Optimization Methods,Oral,1.2.2,2,,,,,,
4908,Animating Arbitrary Objects via Deep Motion Transfer,Aliaksandr Siarohin (University of Trento)*; Stéphane Lathuiliere (university of Trento); Sergey Tulyakov (Snap Inc); Elisa Ricci (FBK - Technologies of Vision); Nicu Sebe (University of Trento),Image and Video Synthesis,Deep Learning,Oral,1.2.2,3,,,,,,
5428,Textured Neural Avatars,Aliaksandra Shysheya (Samsung); Egor Zakharov (Skoltech); Renat Bashirov (Samsung); Igor Pasechnik (Samsung); Egor Burkov (Skoltech); Dmitry Ulyanov (Skoltech); Yury Malkov (Samsung); Karim Iskakov (Samsung); Kara-Ali Aliev (Samsung); Alexey Ivakhnenko (Samsung); Alexander Vakhitov (Samsung AI Research Center); Victor Lempitsky (Samsung)*,Image and Video Synthesis,Deep Learning ; Vision + Graphics ; Vision Applications and Systems,Oral,1.2.2,3,,,,,,
3190,IM-Net for High Resolution Video Frame Interpolation,Tomer Peleg (Samsung Israel R&D Center)*; Pablo Szekely (Samsung Israel R&D Center); Doron Sabo (Samsung Israel R&D Center); Omry Sendik (Samsung Israel R&D Center),Image and Video Synthesis,Datasets and Evaluation; Deep Learning ; Low-level Vision; Motion and Tracking; Vision Applications,Oral,1.2.2,3,,,,,,
1240,Homomorphic Latent Space Interpolation for Unpaired Image-to-image Translation,Yingcong Chen (Chinese University of Hong Kong)*; Xiaogang XU (The Chinese University of Hong Kong); Zhuotao Tian (Chinese University of Hong Kong); Jiaya Jia (Chinese University of Hong Kong),Image and Video Synthesis,"Face, Gesture, and Body Pose ; Vision Applications and Systems",Oral,1.2.2,4,,,,,,
3069,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation,Hao Tang (University of Trento)*; Dan Xu (University of Oxford); Yan Yan (Texas State University); Yanzhi Wang (Northeastern University); Jason J Corso (University of Michigan); Nicu Sebe (University of Trento),Image and Video Synthesis,,Oral,1.2.2,4,,,,,,
4341,Geometry-Consistent Generative Adversarial Networks for One-Sided Unsupervised Domain Mapping,"Huan Fu (The University of Sydney)*; Mingming Gong (University of Pittsburgh); Chaohui Wang (Laboratoire d'Informatique Gaspard Monge, Université Paris-Est); Kayhan Batmanghelich (University of Pittsburgh / Carnegie Mellon University); Kun Zhang (Carnegie Mellon University); Dacheng Tao (University of Sydney)",Image and Video Synthesis,Deep Learning,Oral,1.2.2,4,,,,,,
3521,DeepVoxels: Learning Persistent 3D Feature Embeddings,Vincent Sitzmann (Stanford University)*; Justus Thies (Technical University of Munich); Felix Heide (Princeton University); Matthias Niessner (Technical University of Munich); Gordon Wetzstein (Stanford University); Michael Zollhoefer (Stanford University),Image and Video Synthesis,Deep Learning,Oral,1.2.2,5,,,,,,
5944,Inverse Path Tracing for Joint Material and Lighting Estimation,Dejan Azinovic (Technical University of Munich)*; Tzu-Mao Li (MIT CSAIL); Matthias Niessner (Technical University of Munich); Anton Kaplanyan (Facebook Reality Labs),Image and Video Synthesis,Computational Photography; Computer Vision Theory; Optimization Methods; Scene Analysis and Understa,Oral,1.2.2,5,,,,,,
4057,The Visual Centrifuge: Model-Free Layered Video Representations,Jean-Baptiste Alayrac (DeepMind); Joao Carreira (DeepMind)*; Andrew Zisserman (University of Oxford),Image and Video Synthesis,Computational Photography; Deep Learning ; Representation Learning; Scene Analysis and Understanding,Oral,1.2.2,5,,,,,,
5720,Label-Noise Robust Generative Adversarial Networks,Takuhiro Kaneko (The University of Tokyo)*; Yoshitaka Ushiku (The University of Tokyo); Tatsuya Harada (The University of Tokyo),Image and Video Synthesis,Deep Learning ; Representation Learning,Oral,1.2.2,6,,,,,,
5766,DLOW: Domain Flow for Adaptation and Generalization,Wen Li (ETH Zurich)*; RUI GONG (ETH Zurich); Yuhua Chen (ETH Zurich); Luc Van Gool (ETH Zurich),Image and Video Synthesis,Deep Learning ; Scene Analysis and Understanding,Oral,1.2.2,6,,,,,,
6970,CollaGAN: Collaborative GAN for Missing Image Data Imputation,"Dongwook Lee (Korea Advanced Institute of Science and Technology)*; Junyoung Kim (Korea Advanced Institute of Science and Technology); Won-Jin Moon (Konkuk University Medical Center); Jong Chul Ye (""Department of Bio and Brain Engineering, KAIST, Korea"")",Image and Video Synthesis,"Deep Learning ; Face, Gesture, and Body Pose ; Medical, Biological and Cell Microscopy",Oral,1.2.2,6,,,,,,
6592,d-SNE: Domain Adaptation using Stochastic Neighborhood Embedding,Xiang Xu (University of Houston); Xiong Zhou (amazon); Ragav Venkatesan (Amazon)*; Orchid Majumder (Amazon); Guru Swaminathan (Amazon),"Recognition: Detection, Categorization, Retrieval",Representation Learning,Oral,1.2.3,1,Scenes and Representation,,,,,
197,Taking A Closer Look at Domain Shift: Category-level Adversaries for Semantics Consistent Domain Adaptation,"Yawei Luo (University of Technology Sydney)*; Liang Zheng (Australian National University); Tao Guan (Huazhong University of Science and Technology); Junqing Yu (Huazhong University of Science & Technology); Yi Yang (University of Technology, Sydney)","Segmentation, Grouping and Shape",Deep Learning,Oral,1.2.3,1,,,,,,
396,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation,Tuan-Hung VU (Valeo.ai)*; Himalaya Jain (Valeo.ai); Maxime Bucher (Valeo.ai); Matthieu Cord (Sorbonne University); Patrick Pérez (Valeo.ai),Scene Analysis and Understanding,"Deep Learning ; Recognition: Detection, Categorization, Retrieval; Segmentation, Grouping and Shape",Oral,1.2.3,1,,,,,,
325,Local Feature Augmentation with Cross-Modality Context,Zixin Luo (HKUST)*; Tianwei Shen (HKUST); Lei Zhou (HKUST); Jiahui Zhang (Tsinghua University); Yao Yao (The Hong Kong University of Science and Technology); Shiwei Li (HKUST); Tian Fang (HKUST); Long Quan (Hong Kong University of Science and Technology),Representation Learning,Low-level Vision,Oral,1.2.3,2,,,,,,
556,Large-scale Long-Tailed Recognition in an Open World,Ziwei Liu (The Chinese University of Hong Kong)*; Zhongqi Miao (UC Berkeley); Xiaohang Zhan (The Chinese University of Hong Kong); Jiayun Wang (UC Berkeley / ICSI); Boqing Gong (Tencent AI Lab); Stella X Yu (UC Berkeley / ICSI),Representation Learning,"Recognition: Detection, Categorization, Retrieval",Oral,1.2.3,2,,,,,,
5137,AET vs. AED: Unsupervised Representation Learning by Auto-Encoding Transformations rather than Data,Liheng Zhang (University of Central Florida); Guo-Jun Qi (Huawei Cloud)*; Liqiang Wang (University of Central Florida); Jiebo Luo (University of Rochester),Representation Learning,Deep Learning,Oral,1.2.3,2,,,,,,
576,SDC - Stacked Dilated Convolution: A Unified Descriptor Network for Dense Matching Tasks,René Schuster (DFKI)*; Oliver Wasenmüller (DFKI); Christian Unger (BMW); Didier Stricker (DFKI),Representation Learning,Deep Learning ; Motion and Tracking; Robotics + Driving; Scene Analysis and Understanding; Vision Ap,Oral,1.2.3,3,,,,,,
2746,Learning Correspondence from the Cycle-consistency of Time,Xiaolong Wang (CMU)*; Allan Jabri (UC Berkeley); Alexei A Efros (UC Berkeley),Representation Learning,Motion and Tracking; Video Analytics,Oral,1.2.3,3,,,,,,
2131,AE^2-Nets: Autoencoder in Autoencoder Networks,Changqing Zhang (Tianjin university)*; liu yeqing (Tianjin University ); Huazhu Fu (Inception Institute of Artificial Intelligence),Representation Learning,Statistical Learning,Oral,1.2.3,3,,,,,,
1655,Mitigating Information Leakage in Image Representations: A Maximum Entropy Approach,Proteek Roy (Michigan State University); Vishnu Boddeti (Michigan State University)*,Representation Learning,Optimization Methods; Statistical Learning,Oral,1.2.3,4,,,,,,
3877,Learning Spatial Common Sense with Geometry-Aware Recurrent Networks,Hsiao-Yu Tung (Carnegie Mellon University)*; Ricson Cheng (Carnegie Mellon University); Katerina Fragkiadaki (Carnegie Mellon University),Representation Learning,"3D from Single Image; Recognition: Detection, Categorization, Retrieval; Scene Analysis and Understa",Oral,1.2.3,4,,,,,,
